
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.3909980411396
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.70766190384865
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.47415356161793
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.914969973796296
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.478219267380034
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.87447668579396
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.49998662764921
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.85864657372349
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.523644850639535
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 35.80050205329867
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 36.50766653056043
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 36.06605116873761
