INFO:logs/DIP_log_model_gaussian_with_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_with_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_with_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_with_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.300483189895917
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.357943228456346
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.299074806715044
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.20860722658106
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.3026482784591
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.169719881758105
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.254814733847457
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.215624108374236
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.313653857800134
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.478131273735126
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.296342337064875
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.225692030264565
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.336208305684114
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.42869901486341
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.340100309015188
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.30474146546201
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.34611112117909
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.465029750457045
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.344984268261605
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.360738549826173
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.340104905458585
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.348590521961853
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.35112296658115
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.365023562204996
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.340915492988863
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.36750277035676
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.352224191200428
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.446467365141654
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.357962890764156
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.50954479546236
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.363568556742706
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.410549982598553
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.361448951824947
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.381592919828105
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.35736973065103
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.519580080930805
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.364579275707737
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.3036124991446
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.373809042272185
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.332844917746332
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.368297621076515
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.240972280447295
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.36684697307655
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 28.366541562309717
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 28.359617015153006
