INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.42656863752224
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.594065602116046
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.497983637004854
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.59265345861624
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.60623180237893
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.61470234833251
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.49405884143081
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.643284039452666
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.791171669221765
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.63487430602323
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.573614823308
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.651069233791876
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.657955343383634
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.64913027923635
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.67818117114191
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.65916574129907
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.475020785895925
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.680823743275738
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.63525368974446
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.676873316595426
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 27.549898956519893
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 27.675359096426863
