INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=128_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 128, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.001336750381938
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.185842058538
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.000468688334937
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.310920539510526
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.011295377320206
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.267118890022566
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.01008518228589
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.068743848593012
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.00466638060712
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.163332868489395
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.016963967767676
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.06688205168707
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 26.994301558220865
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.17221881900972
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.01547334823107
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.09268791701309
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.01712914677667
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.21544182644379
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.00384096191145
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.06946162607295
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.02627254934912
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.967658998901292
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.008686521026455
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.308929382645793
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.00299794183938
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.155796734410902
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.017367585856896
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.26822130383561
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.015913794132594
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.23585811213439
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.017311935508953
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 26.848973122871634
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.01609409075719
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.384912258809564
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.021134183085014
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.359897962285444
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.02170213881569
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.157304579760602
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 27.015431425118685
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 27.24087307774239
