INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.0413981875754
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.11354023296385
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.048189010831944
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.212207336003214
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.05688379306878
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.639217477586122
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.053111607001316
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.476655992641998
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.062279463908382
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.215926921554306
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.054447938716702
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.63515621252506
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.05499129825016
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.303162674138175
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.06583741678661
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.242862120103524
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.056617526055362
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.181967806887695
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.049606017307912
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.542243316510923
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.010774119967902
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.553753748220338
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.07799443338987
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.237806270634287
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.044758251687306
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.356566834302622
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.05513944215741
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.216620337645583
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.0524190771449
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.55771501454849
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.058427982919454
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.177152394439755
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.04894447197742
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.45056197208193
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.078314497897253
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.138634107161074
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 27.0563911345116
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 27.608825114135687
