INFO:logs/DIP_log_model_sinc_kernel=64.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_sinc_kernel=64.log_model:config_dict = {'uuid': 'DIP_project_sinc_kernel=64', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'sinc_size': 64}

INFO:logs/DIP_log_model_sinc_kernel=64.log:Training model...
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.202631971041605
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.975606721278446
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.2101650403309
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.972156964827896
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.19465401299139
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.91265764636044
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.23582989142768
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.92676986851267
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.30304330526022
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.98974265080366
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.32735421442871
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.032868780533796
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.283497520029236
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 32.68830150311299
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.327399049542755
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.09194547428207
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.348072766976685
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.24935897062613
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.3976542949052
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.15123867311807
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.427748478472864
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.29360192497503
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.43449556366026
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.16630028976427
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.45030407338798
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.182792453759426
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.4547308528109
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.252207789913854
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.454545186534716
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.03671409458051
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.433370847454576
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.24985056030497
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.49057526282237
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.05430392581093
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.455612257062114
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.28857098085523
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.49486161648464
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.05879272782444
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.50282672276514
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.236149914902015
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.4967126444552
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.10031914596515
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.50507646437844
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.30873765542452
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.53481117538933
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.23465968627059
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.53391429292784
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.373665477898015
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.53247666228584
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.342073625633404
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.52185526152571
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.27229832107396
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.568095485766094
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.25954108603387
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.56542325330468
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.09480876932779
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.56561066530941
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.5052284040467
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.56611661123344
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.52081596821163
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.593805340643485
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.44860204478993
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.57894905907028
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.090150302094834
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.60341176424123
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.30059512362
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.60810410742053
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.39990848571161
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.621748641506514
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.27712173846403
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.627153058925025
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.27957035256758
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.63070415019124
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.54344738079386
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.630749648291136
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.44834465469131
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.634624372942824
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.47668856112237
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.640109809724365
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.473148458204044
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.64538042994973
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.52233168612882
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.648550509297905
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.52645055617598
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.65035944904642
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.117544284895864
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.644997322573396
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.30616633042143
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 33.64870886721395
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 33.35089178015523
